OBJECTID,NUMERO_ORDINE,TECNICO,DATA_PRELIVEO,SPECIE,LATITUDINE,LONGITUDINE,CULTIVAR,RISULTATO,COMUNE
"12,656",544,MZZ MLE,11/21/2013 00:00:00,QUERCUS,40.31194444,17.77472222,****,NEGATIVO,AVETRANA
"12,657",545,MZZ MLE,11/21/2013 00:00:00,MALVA,40.31444444,17.74111111,****,NEGATIVO,AVETRANA
"12,658",546,MZZ MLE,11/21/2013 00:00:00,OLIVO,40.31444444,17.74111111,****,NEGATIVO,AVETRANA
"12,659",406,FDL PRS ,11/21/2013 00:00:00,OLIVO,40.39111111,17.47638889,****,NEGATIVO,LIZZANO
"12,660",407,FDL PRS ,11/21/2013 00:00:00,MALVA,40.39111111,17.47638889,****,NEGATIVO,LIZZANO
"12,661",408,FDL PRS ,11/21/2013 00:00:00,OLIVO,40.38722222,17.44833333,****,NEGATIVO,LIZZANO
"12,662",409,FDL PRS ,11/21/2013 00:00:00,MALVA,40.38722222,17.44833333,****,NEGATIVO,LIZZANO
"12,630",517,ARG CGN,11/21/2013 00:00:00,QUERCUS,40.55000000,17.89888889,****,NEGATIVO,BRINDISI
"12,663",410,FDL PRS ,11/21/2013 00:00:00,MALVA,40.35472222,17.44250000,****,NEGATIVO,LIZZANO
"12,664",411,FDL PRS ,11/21/2013 00:00:00,OLIVO,40.35111111,17.44055556,****,NEGATIVO,LIZZANO
"12,665",412,FDL PRS ,11/21/2013 00:00:00,MALVA,40.35111111,17.44055556,****,NEGATIVO,LIZZANO
"12,666",413,FDL PRS ,11/21/2013 00:00:00,OLIVO,40.35361111,17.36444444,****,NEGATIVO,PULSANO
"12,667",414,FDL PRS ,11/21/2013 00:00:00,OLIVO,40.38250000,17.36000000,****,NEGATIVO,PULSANO
"12,669",416,FDL PRS ,11/21/2013 00:00:00,OLIVO,40.38111111,17.40111111,****,NEGATIVO,TARANTO
"12,670",417,FDL PRS ,11/21/2013 00:00:00,OLEANDRO,40.37777778,17.40388889,****,NEGATIVO,TARANTO
"12,671",418,FDL PRS ,11/21/2013 00:00:00,MANDORLO,40.37777778,17.40388889,****,NEGATIVO,TARANTO
"12,672",419,FDL PRS ,11/21/2013 00:00:00,OLIVO,40.37777778,17.40388889,****,NEGATIVO,TARANTO
"12,673",420,FDL PRS ,11/21/2013 00:00:00,MALVA,40.37777778,17.40388889,****,NEGATIVO,TARANTO
"12,674",421,FDL PRS ,11/21/2013 00:00:00,OLIVO,40.38555556,17.43722222,****,NEGATIVO,LIZZANO
"12,675",422,FDL PRS ,11/21/2013 00:00:00,MALVA,40.38555556,17.43722222,****,NEGATIVO,LIZZANO
"12,676",423,FDL PRS ,11/21/2013 00:00:00,MANDORLO,40.38555556,17.43722222,****,NEGATIVO,LIZZANO
"12,677",424,FDL PRS ,11/21/2013 00:00:00,MANDORLO,40.39666667,17.45027778,****,NEGATIVO,LIZZANO
"12,678",425,FDL PRS ,11/21/2013 00:00:00,MALVA,40.39666667,17.45027778,****,NEGATIVO,LIZZANO
"12,679",426,FDL PRS ,11/21/2013 00:00:00,OLIVO,40.39666667,17.45027778,****,NEGATIVO,LIZZANO
